Practice Code,Practice Name,Practice_Address_Line_1,Practice_Address_Line_2,Practice_Address_Line_3,Practice_Address_Line_4,Postcode,Telephone,Eastings,Northings,Longitude,Latitude,Total Registered List,Total patients per GP,Male GPs,Female GPs,0-14 (%),15-44 (%) ,45-74 (%),75+ (%),Deprivation level,ALL STAR RATING,OVERVIEW - OVERALL STAR RATING,Would you recommend your GP surgery? Rating,Would you recommend your GP surgery? respondents,Patient satisfaction with opening hours  rating,Patient satisfaction with opening hours  respondents,How helpful was the receptionist? Rating,How helpful was the receptionist? respondents,DOCTOR: overall star rating,Were you able to see a doctor within 2 working days? Rating,Were you able to see a doctor within 2 working days? respondents,Patient confidence and trust in the doctor  rating,Patient confidence and trust in the doctor  respondents,Did the doctor involve you in decisions about your care? Rating,Did the doctor involve you in decisions about your care? respondents,NURSE: overall star rating,Was it easy to get an appointment with a  nurse? Rating,Was it easy to get an appointment with a  nurse? respondents,Did the nurse explain tests & treatments? Rating,Did the nurse explain tests & treatments? respondents,Did the nurse treat patients with care & concern? Rating,Did the nurse treat patients with care & concern? respondents,OUTCOMES: overall star rating,Were eligible women screened? Rating,Were eligible women screened? Number of patients,Were blood pressure tests recently completed for patients with coronary heart disease? Rating,Were blood pressure tests recently completed for patients with coronary heart disease? Number of patients,Were asthma patients recently given an asthma review? Rating,Were asthma patients recently given an asthma review? Number of patients,Did cancer patients recently have a cancer review? Rating,Did cancer patients recently have a cancer review? Number of patients,Was retinal screening recently completed for diabetes patients? Rating,Was retinal screening recently completed for diabetes patients? Number of patients,OVERALL: Prevalence,Hypertension Value,Number of patients with Hypertension Number of patients,Stroke Value,Number of patients with Stroke Number of patients,Coronary Heart Disease Value,Number of patients with Coronary Heart Disease Number of patients,Chronic Obstructive Pulmonary Disease Value,Number of patients with Chronic Obstructive Pulmonary Disease Number of patients
A12355,RANDOM PRACTICE 11,ADDRESS LINE ONE - 11,11 MAIN STREET,CITY NAME 11,REGION NAME 11,NE2 2AH,01244 567890,425352,566174,-1.603745,54.989436," 8,682 "," 1,447 ", 3 , 3 ,10.6%,50.6%,32.0%,6.8%,4.5,4.5,4,4, 316 ,2.5, 315 ,4, 322 ,5,5, 193 ,5, 323 ,5, 293 ,4,1, 254 ,4.5, 250 ,4.5, 263 ,4.5,4," 1,602 ",3.5, 186 ,1.5, 157 ,5, 26 ,5, 206 ,4,4.5," 1,845 ", 4.0 , 145 , 4.5 , 297 , 3.0 , 256 
A12356,RANDOM PRACTICE 12,ADDRESS LINE ONE - 12,12 MAIN STREET,CITY NAME 12,REGION NAME 12,NE4 7JT,01245 567890,423725,563787,-1.629372,54.968064," 9,661 "," 1,610 ", 3 , 3 ,16.0%,44.1%,33.8%,6.1%,0.5,2.5,3.5,3.5, 338 ,3.5, 334 ,3, 347 ,3.5,3, 198 ,3, 344 ,4, 318 ,2.5,4, 271 ,2, 257 ,2, 266 ,1,1," 1,597 ",1, 372 ,2.5, 523 ,2, 19 ,1, 378 ,1.5,2.5," 2,436 ", 1.0 , 247 , 1.0 , 581 , 1.0 , 412 
A12357,RANDOM PRACTICE 13,ADDRESS LINE ONE - 13,13 MAIN STREET,CITY NAME 13,REGION NAME 13,NE3 1NU,01246 567890,424466,567583,-1.617472,55.002143," 12,348 "," 1,372 ", 5 , 4 ,16.9%,37.5%,37.2%,8.4%,4.5,4,4.5,5, 445 ,3.5, 437 ,4, 443 ,5,4.5, 237 ,5, 453 ,4.5, 416 ,4,3.5, 378 ,3.5, 387 ,3.5, 381 ,3.5,3.5," 2,772 ",3, 382 ,3, 521 ,5, 49 ,3, 383 ,3,3," 3,053 ", 3.0 , 253 , 3.5 , 529 , 2.0 , 413 
A12358,RANDOM PRACTICE 14,ADDRESS LINE ONE - 14,14 MAIN STREET,CITY NAME 14,REGION NAME 14,NE2 3LD,01247 567890,425097,566935,-1.607664,54.996288," 5,041 "," 1,260 ", 2 , 2 ,12.4%,50.4%,30.2%,7.0%,4.5,4,4.5,4.5, 195 ,2.5, 179 ,4.5, 196 ,4.5,4, 86 ,4, 191 ,3.5, 175 ,5,0.5, 133 ,5, 140 ,5, 149 ,3,3," 1,028 ",3, 135 ,2, 216 ,5, 18 ,3.5, 118 ,4,4.5," 1,052 ", 4.0 , 83 , 4.5 , 169 , 3.0 , 144 
A12359,RANDOM PRACTICE 15,ADDRESS LINE ONE - 15,15 MAIN STREET,CITY NAME 15,REGION NAME 15,NE4 8QB,01248 567890,421852,563878,-1.658624,54.968968," 9,070 ", 825 , 3 , 8 ,14.5%,36.1%,38.2%,11.1%,1.5,2.5,1.5,1.5, 344 ,2.5, 330 ,1, 337 ,2.5,2.5, 193 ,2.5, 338 ,2.5, 301 ,5,5, 246 ,3.5, 245 ,3.5, 259 ,2.5,1.5," 1,575 ",3.5, 489 ,3.5, 340 ,2, 41 ,3, 493 ,1,1," 2,708 ", 1.0 , 247 , 1.0 , 579 , 1.0 , 428 
A12360,RANDOM PRACTICE 16,ADDRESS LINE ONE - 16,16 MAIN STREET,CITY NAME 16,REGION NAME 16,NE5 1EH,01249 567890,418127,566860,-1.716627,54.995917," 7,633 "," 1,090 ", 2 , 5 ,16.2%,36.7%,38.7%,8.3%,3,4,4.5,5, 275 ,3.5, 272 ,4.5, 277 ,4.5,4.5, 146 ,4.5, 278 ,4, 243 ,4,2, 199 ,4, 199 ,4.5, 209 ,4.5,4.5," 1,722 ",4, 285 ,5, 453 ,2.5, 22 ,2, 294 ,1.5,1.5," 2,118 ", 1.5 , 181 , 1.5 , 432 , 1.0 , 335 
A12361,RANDOM PRACTICE 17,ADDRESS LINE ONE - 17,17 MAIN STREET,CITY NAME 17,REGION NAME 17,NE6 1TH,01250 567890,426949,565026,-1.578892,54.979035," 8,147 "," 1,629 ", 4 , 1 ,13.9%,50.5%,30.1%,5.5%,1,3,3.5,4, 294 ,4.5, 297 ,1, 292 ,3,1.5, 177 ,4, 292 ,4.5, 259 ,4.5,3.5, 233 ,4.5, 233 ,3, 246 ,2.5,2," 1,512 ",4, 311 ,1, 449 ,5, 13 ,2.5, 290 ,2,3.5," 1,897 ", 1.5 , 195 , 1.5 , 449 , 1.0 , 328 
A12362,RANDOM PRACTICE 18,ADDRESS LINE ONE - 18,18 MAIN STREET,CITY NAME 18,REGION NAME 18,NE6 1SE,01251 567890,426998,565076,-1.578122,54.979482," 6,001 ", 857 , 1 , 6 ,14.2%,50.4%,29.9%,5.6%,1,3.5,4.5,4.5, 218 ,4.5, 219 ,4, 217 ,4.5,3.5, 129 ,4, 220 ,4.5, 194 ,4.5,2.5, 173 ,4, 161 ,4.5, 170 ,3,3.5," 1,135 ",2.5, 212 ,3.5, 297 ,2, 13 ,3, 191 ,2,3.5," 1,408 ", 1.5 , 144 , 1.5 , 329 , 1.0 , 238 
A12363,RANDOM PRACTICE 19,ADDRESS LINE ONE - 19,19 MAIN STREET,CITY NAME 19,REGION NAME 19,NE5 2LH,01252 567890,420131,567065,-1.685286,54.997682," 12,236 "," 1,530 ", 3 , 5 ,19.9%,40.5%,32.7%,7.0%,1,2.5,3.5,3.5, 416 ,3.5, 411 ,2.5, 414 ,3.5,2.5, 257 ,4, 396 ,3.5, 366 ,2,3, 325 ,2, 299 ,2, 315 ,3,1.5," 2,327 ",4, 468 ,3, 503 ,5, 19 ,2.5, 546 ,1.5,3," 3,035 ", 1.0 , 328 , 1.0 , 755 , 1.0 , 511 
A12364,RANDOM PRACTICE 20,ADDRESS LINE ONE - 20,20 MAIN STREET,CITY NAME 20,REGION NAME 20,NE15 9PA,01253 567890,415529,566507,-1.75726,54.992832," 6,458 "," 1,615 ", 2 , 2 ,16.5%,38.2%,35.7%,9.5%,2,3.5,5,4.5, 228 ,5, 223 ,5, 229 ,4,3, 134 ,4, 228 ,3.5, 211 ,4,2, 184 ,4, 176 ,4, 185 ,2.5,3," 1,240 ",3, 365 ,0.5, 304 ,5, 16 ,3, 239 ,1,1.5," 1,782 ", 1.0 , 160 , 1.0 , 377 , 1.0 , 285 
A12365,RANDOM PRACTICE 21,ADDRESS LINE ONE - 21,21 MAIN STREET,CITY NAME 21,REGION NAME 21,NE1 7XE,01254 567890,424738,564559,-1.613481,54.974953," 9,106 "," 4,553 ", 1 , 1 ,4.1%,90.4%,5.3%,0.2%,3,2,1,1, 330 ,2, 292 ,1, 329 ,1.5,0.5, 174 ,4, 305 ,3.5, 278 ,2,4.5, 261 ,2, 245 ,1.5, 262 ,0.5,0.5, 629 ,0.5, 11 ,2.5, 138 ,5, 3 ,4, 38 ,5,5, 880 , 5.0 , 35 , 5.0 , 54 , 5.0 , 163 
A12366,RANDOM PRACTICE 22,ADDRESS LINE ONE - 22,22 MAIN STREET,CITY NAME 22,REGION NAME 22,NE3 4BP,01255 567890,424243,567519,-1.620964,55.001579," 3,871 "," 1,936 ", 1 , 1 ,13.4%,38.6%,41.2%,6.9%,3,3,3.5,2.5, 148 ,4.5, 148 ,3, 149 ,2.5,2, 69 ,2.5, 150 ,3, 135 ,3,1, 126 ,4, 127 ,4, 131 ,4,5, 821 ,4, 155 ,3, 181 ,2, 18 ,3, 166 ,2,1.5," 1,056 ", 3.0 , 77 , 2.5 , 186 , 1.0 , 150 
A12367,RANDOM PRACTICE 23,ADDRESS LINE ONE - 23,23 MAIN STREET,CITY NAME 23,REGION NAME 23,NE6 1SG,01256 567890,426760,564849,-1.581862,54.977455," 11,066 "," 1,383 ", 3 , 5 ,12.7%,49.2%,31.0%,7.1%,1,3.5,4,4, 401 ,4.5, 390 ,3, 407 ,3.5,2, 231 ,4, 401 ,4, 366 ,4,3.5, 304 ,3.5, 308 ,3, 316 ,4,4.5," 1,781 ",2.5, 441 ,3.5, 476 ,2, 27 ,3.5, 458 ,1.5,3," 2,781 ", 1.0 , 305 , 1.0 , 699 , 1.0 , 487 
A12368,RANDOM PRACTICE 24,ADDRESS LINE ONE - 24,24 MAIN STREET,CITY NAME 24,REGION NAME 24,NE15 6TQ,01257 567890,420848,564345,-1.674275,54.973208," 10,228 "," 2,046 ", 3 , 2 ,18.4%,41.8%,33.3%,6.4%,1,2.5,3,2.5, 349 ,4, 334 ,2, 346 ,2,1, 173 ,3, 347 ,3, 315 ,3.5,2.5, 273 ,4, 263 ,3.5, 272 ,3.5,2.5," 2,023 ",4, 422 ,3.5, 671 ,5, 16 ,3, 386 ,1.5,3," 2,526 ", 1.0 , 263 , 1.0 , 610 , 1.0 , 424 
A12369,RANDOM PRACTICE 25,ADDRESS LINE ONE - 25,25 MAIN STREET,CITY NAME 25,REGION NAME 25,NE4 9XD,01258 567890,421835,565597,-1.658759,54.984417," 7,620 "," 1,270 ", 2 , 4 ,19.8%,44.8%,27.9%,7.5%,1.5,2.5,2.5,2, 257 ,3, 251 ,2, 254 ,3,2.5, 153 ,2.5, 255 ,3.5, 231 ,2.5,2.5, 200 ,2.5, 193 ,2.5, 199 ,2,1," 1,384 ",5, 260 ,2.5, 292 ,1.5, 11 ,3.5, 271 ,3.5,4," 1,679 ", 3.5 , 139 , 3.5 , 325 , 2.0 , 263 
A12370,RANDOM PRACTICE 26,ADDRESS LINE ONE - 26,26 MAIN STREET,CITY NAME 26,REGION NAME 26,NE3 5NF,01259 567890,423946,570344,-1.625371,55.026982," 3,953 "," 1,318 ", 1 , 2 ,20.8%,38.9%,30.1%,10.2%,5,3.5,4.5,4, 125 ,4, 125 ,4, 129 ,4.5,3.5, 66 ,4.5, 126 ,4.5, 118 ,2.5,2.5, 93 ,2.5, 88 ,2.5, 93 ,3,3, 834 ,4, 128 ,1.5, 177 ,5, 15 ,2.5, 92 ,4,3.5, 889 , 4.0 , 64 , 4.5 , 132 , 3.5 , 103 
A12371,RANDOM PRACTICE 27,ADDRESS LINE ONE - 27,27 MAIN STREET,CITY NAME 27,REGION NAME 27,NE3 5JP,01260 567890,424317,569130,-1.61967,55.016053," 2,465 "," 1,233 ", 1 , 1 ,17.2%,41.2%,34.5%,7.1%,3.5,3,3.5,2.5, 84 ,3, 85 ,4.5, 86 ,2,2, 49 ,2, 84 ,2, 77 ,3.5,4.5, 65 ,2.5, 67 ,3, 69 ,4,3.5, 475 ,2, 111 ,3, 123 ,5, 3 ,5, 110 ,3,3, 607 , 3.5 , 45 , 3.0 , 108 , 1.5 , 85 
A12372,RANDOM PRACTICE 28,ADDRESS LINE ONE - 28,28 MAIN STREET,CITY NAME 28,REGION NAME 28,NE3 1TX,01261 567890,424469,568137,-1.617378,55.007122," 7,913 "," 1,583 ", 2 , 3 ,18.7%,43.1%,31.1%,7.1%,4,3.5,3.5,4.5, 272 ,3.5, 270 ,2, 270 ,5,4, 168 ,5, 273 ,5, 249 ,1,1.5, 205 ,1, 192 ,1, 200 ,4.5,4.5," 1,554 ",3.5, 236 ,2.5, 258 ,5, 24 ,4.5, 208 ,4,4," 1,683 ", 4.0 , 132 , 4.5 , 270 , 3.0 , 224 
A12373,RANDOM PRACTICE 29,ADDRESS LINE ONE - 29,29 MAIN STREET,CITY NAME 29,REGION NAME 29,NE4 6SH,01262 567890,423115,563907,-1.638891,54.969171," 7,387 "," 1,477 ", 1 , 4 ,23.4%,45.3%,26.6%,4.6%,0.5,2,1,0.5, 225 ,2.5, 237 ,1.5, 236 ,1,1.5, 131 ,1, 229 ,1.5, 218 ,2,4.5, 187 ,2, 179 ,1.5, 184 ,4,2," 1,076 ",3, 237 ,4.5, 264 ,5, 10 ,1.5, 306 ,3,4.5," 1,579 ", 2.5 , 155 , 2.5 , 367 , 1.5 , 263 
A12374,RANDOM PRACTICE 30,ADDRESS LINE ONE - 30,30 MAIN STREET,CITY NAME 30,REGION NAME 30,NE15 8LX,01263 567890,416506,565705,-1.742034,54.985593," 5,359 "," 1,072 ", 2 , 3 ,14.8%,38.1%,37.1%,10.0%,1.5,3,4,4, 194 ,4, 188 ,3.5, 192 ,3.5,2, 97 ,4.5, 194 ,4.5, 174 ,1.5,3, 144 ,2, 140 ,1.5, 147 ,4,4.5," 1,006 ",4.5, 267 ,2.5, 311 ,2, 13 ,4.5, 208 ,1,1," 1,510 ", 1.5 , 133 , 1.0 , 313 , 1.0 , 239 
A12375,RANDOM PRACTICE 31,ADDRESS LINE ONE - 31,31 MAIN STREET,CITY NAME 31,REGION NAME 31,NE6 2NN,01264 567890,428491,563658,-1.554934,54.966655," 5,785 ", 964 , 2 , 4 ,21.5%,45.2%,28.5%,4.9%,0.5,2.5,4,3.5, 187 ,4.5, 190 ,3.5, 197 ,4,4.5, 133 ,3, 194 ,4, 163 ,1,3.5, 129 ,1, 138 ,1, 140 ,1.5,4.5, 953 ,2, 193 ,0.5, 264 ,5, 13 ,1.5, 211 ,2.5,4," 1,243 ", 2.5 , 122 , 2.5 , 281 , 1.5 , 209 
A12376,RANDOM PRACTICE 32,ADDRESS LINE ONE - 32,32 MAIN STREET,CITY NAME 32,REGION NAME 32,NE5 2UY,01265 567890,420169,565527,-1.6848,54.983858," 7,982 "," 1,330 ", 2 , 4 ,17.7%,37.3%,36.3%,8.7%,2,2,2,2, 279 ,2, 266 ,3, 284 ,2,2, 161 ,2, 281 ,2, 247 ,2,4, 220 ,2, 207 ,2, 217 ,3,2.5," 1,644 ",2, 314 ,3.5, 394 ,2, 14 ,3, 355 ,2,2," 2,128 ", 2.0 , 182 , 2.0 , 427 , 1.0 , 333 
A12377,RANDOM PRACTICE 33,ADDRESS LINE ONE - 33,33 MAIN STREET,CITY NAME 33,REGION NAME 33,NE4 5AB,01266 567890,423115,564727,-1.638825,54.976541," 5,755 "," 1,918 ", 2 , 1 ,26.1%,57.9%,14.2%,1.8%,1,3.5,4,2.5, 149 ,4.5, 149 ,4.5, 162 ,1.5,1, 85 ,2, 152 ,3, 138 ,2,2.5, 114 ,2.5, 124 ,1.5, 127 ,4.5,2, 786 ,4, 110 ,4, 241 ,5, 2 ,4, 192 ,5,5, 823 , 5.0 , 64 , 5.0 , 148 , 4.5 , 128 
A12378,RANDOM PRACTICE 34,ADDRESS LINE ONE - 34,34 MAIN STREET,CITY NAME 34,REGION NAME 34,NE5 3AE,01267 567890,422056,566389,-1.655244,54.991525," 1,387 ", 277 , 2 , 3 ,24.6%,56.0%,17.7%,1.7%,0.5,4,5,5, 12 ,5, 11 ,3, 12 ,4.5,No Data, No Data ,4.5, 12 ,5, 10 ,1,0.5, 7 ,1, 8 ,5, 8 ,4.5,1.5, 220 ,5, 21 ,4.5, 53 ,5, 1 ,2.5, 24 ,4.5,5, 185 , 5.0 , 15 , 5.0 , 32 , 3.5 , 32 
A12379,RANDOM PRACTICE 35,ADDRESS LINE ONE - 35,35 MAIN STREET,CITY NAME 35,REGION NAME 35,NE15 6BY,01268 567890,420568,564079,-1.678668,54.970829," 1,510 ", 503 , 1 , 2 ,19.9%,35.8%,37.0%,7.4%,0.5,3.5,5,5, 31 ,5, 33 ,5, 34 ,4.5,4, 19 ,4.5, 34 ,4.5, 28 ,1.5,0.5, 19 ,3, 17 ,3, 17 ,5,2.5, 266 ,3.5, 83 ,5, 96 ,5, 5 ,1.5, 80 ,1,1.5, 406 , 1.0 , 45 , 1.0 , 109 , 1.0 , 69 
A12380,RANDOM PRACTICE 36,ADDRESS LINE ONE - 36,36 MAIN STREET,CITY NAME 36,REGION NAME 36,NE12 8LS,01269 567890,426699,568689,-1.582457,55.011968," 5,542 "," 1,386 ", 1 , 3 ,14.9%,41.0%,35.5%,8.6%,2,3,4,4, 201 ,4, 195 ,3.5, 198 ,4,2.5, 95 ,4.5, 200 ,4, 171 ,2.5,4.5, 155 ,2, 149 ,2, 160 ,2.5,2," 1,158 ",4, 257 ,1, 272 ,5, 9 ,2.5, 237 ,1.5,2," 1,452 ", 2.0 , 126 , 1.5 , 300 , 1.0 , 232 
A12381,RANDOM PRACTICE 37,ADDRESS LINE ONE - 37,37 MAIN STREET,CITY NAME 37,REGION NAME 37,NE7 7XX,01270 567890,427131,568345,-1.575734,55.008853," 9,071 "," 1,296 ", 1 , 6 ,15.4%,45.0%,31.6%,8.1%,3.5,3.5,4.5,4.5, 313 ,3.5, 299 ,4.5, 317 ,4.5,4, 176 ,4.5, 316 ,4.5, 290 ,3.5,3, 258 ,3, 247 ,3.5, 255 ,2.5,4.5," 1,926 ",3.5, 306 ,0.5, 301 ,2, 15 ,2.5, 277 ,3,3.5," 2,140 ", 3.5 , 165 , 3.5 , 367 , 2.0 , 309 
A12382,RANDOM PRACTICE 38,ADDRESS LINE ONE - 38,38 MAIN STREET,CITY NAME 38,REGION NAME 38,NE7 7TD,01271 567890,427050,568055,-1.577028,55.006251," 5,031 "," 1,677 ", 2 , 1 ,14.1%,39.5%,36.9%,9.6%,3.5,2.5,3,3, 189 ,2.5, 189 ,3, 187 ,2.5,0.5, 119 ,4.5, 196 ,4.5, 175 ,2,3, 141 ,2, 145 ,2, 148 ,3.5,5, 963 ,1, 226 ,1, 192 ,1.5, 20 ,4.5, 196 ,2,1.5," 1,378 ", 2.5 , 109 , 2.5 , 248 , 1.0 , 197 
A12383,RANDOM PRACTICE 39,ADDRESS LINE ONE - 39,39 MAIN STREET,CITY NAME 39,REGION NAME 39,NE29 0HQ,01272 567890,435233,568627,-1.449008,55.01088," 7,757 "," 1,108 ", - , 7 ,12.8%,36.0%,40.5%,10.7%,2,1.5,1,1.5, 298 ,0.5, 289 ,1, 290 ,1,0.5, 156 ,2, 296 ,2, 253 ,2,5, 228 ,1.5, 225 ,1, 233 ,2,4," 1,507 ",0.5, 399 ,2, 305 ,5, 25 ,1, 355 ,1,1," 2,351 ", 1.0 , 210 , 1.0 , 498 , 1.0 , 371 
